code,title,author,publisher,user_num,lang,type,year,summary,book_ISBN,,,
19,용쌤의 프로그래밍 with 자바,박용준,그라운미디어,,kr,연간물,2014,"용쌤의 프로그래밍 with 자바는 프로그래밍에 관심 있는 독자들을 위한 실용적인 안내서입니다. 이 책은 용쌤의 친절하고 명확한 설명을 통해 자바(Java) 프로그래밍의 기초 개념과 객체 지향 프로그래밍을 소개합니다. 초보자들은 실제로 코드를 작성하고 실행해보며, 프로그래밍의 기본 원리와 자바 프로그래밍 능력을 향상시킬 수 있습니다. ""용쌤의 프로그래밍 with 자바""는 자바를 기반으로 프로그래밍을 배우고자 하는 독자들에게 유용한 안내서가 될 것입니다.",987391,,,
20,C언어 콘서트,박영찬,블루미디어,,kr,연간물,2015,"C언어 콘서트는 C 언어에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 C 언어의 기초부터 고급 개념까지 다양한 주제를 다룹니다. 초보자들은 C 언어를 배우고 실전 예제를 통해 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""C언어 콘서트""는 C 언어를 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987392,,,
21,파이썬 콘서트,박준범,가천대학교,,kr,단행본 ,2016,"파이썬 콘서트는 파이썬(Python) 프로그래밍에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 파이썬의 기초부터 심화 내용까지 다양한 주제를 다룹니다. 초보자들은 파이썬을 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""파이썬 콘서트""는 파이썬을 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987393,,,
22,자바 콘서트,서민성,한빛미디어,,kr,단행본 ,2017,"자바 콘서트는 자바(Java) 프로그래밍에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 자바의 기초부터 심화 내용까지 다양한 주제를 다룹니다. 초보자들은 자바를 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""자바 콘서트""는 자바를 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987394,,,
23,코틀린 콘서트,서의준,금빛미디어,,kr,단행본 ,2018,"코틀린 콘서트는 코틀린(Kotlin) 프로그래밍에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 코틀린의 기초부터 고급 개념까지 다양한 주제를 다룹니다. 초보자들은 코틀린을 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 프로그래밍 기법을 얻을 수 있습니다. ""코틀린 콘서트""는 코틀린을 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 프로그래밍 여행을 제공합니다.",987395,,,
24,스프링 콘서트,서영찬,은빛미디어,,kr,단행본 ,2019,"스프링 콘서트는 스프링(Spring) 프레임워크에 대한 흥미로운 여정을 안내하는 책입니다. 이 책은 콘서트를 테마로 하여 스프링의 기초부터 고급 개념까지 다양한 주제를 다룹니다. 초보자들은 스프링을 배우고 실전 예제를 통해 프로그래밍 실력을 향상시킬 수 있으며, 전문가들도 새로운 아이디어와 도전적인 개발 기법을 얻을 수 있습니다. ""스프링 콘서트""는 스프링을 다양하고 흥미로운 방식으로 소개하며, 모든 독자들에게 유익한 개발 여행을 제공합니다.",987396,,,
25,모두의 파이썬,서준범,오렌지미디어,,kr,단행본 ,2020,"모두의 파이썬은 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 파이썬(Python) 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. 파이썬을 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987397,,,
26,모두의 C,최민성,옐로미디어,,kr,단행본 ,2021,"모두의 C는 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 C 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. C 언어를 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987398,,,
27,모두의 자바,최영찬,레드미디어,,kr,단행본 ,2022,"모두의 자바는 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 자바(Java) 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. 자바를 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987399,,,
28,모두의 코틀린,최의준,블루미디어,,kr,단행본 ,2023,"모두의 코틀린은 프로그래밍 초보자들을 위한 입문서로, 친절하고 쉬운 설명을 통해 코틀린(Kotlin) 언어를 소개합니다. 이 책은 다양한 예제와 실습을 통해 독자들이 쉽게 프로그래밍 기초를 익힐 수 있도록 도와줍니다. 코틀린을 처음 접하는 독자들에게 친근한 안내서로서 많은 독자들에게 인기를 얻고 있습니다.",987400,,,
29,용준이와 함께하는 컴퓨터 조립,서용준,화이트미디어,,kr,학위논문,2024,"용준이와 함께하는 컴퓨터 조립은 컴퓨터 조립에 관심 있는 독자들을 위한 가이드북입니다. 이 책은 용준이와 함께 실전 예제를 통해 컴퓨터 조립의 기초부터 고급 기술까지 배울 수 있도록 도와줍니다. 컴퓨터 하드웨어를 다루는 과정에서 소프트웨어 설치와 유지보수까지 포괄적인 내용을 다루며, 초보자부터 전문가까지 모두에게 유익한 정보를 제공합니다.",987401,,,
